ID,Segment,Business,Date,Status,MRR,Macro Product,Plan,Classificacao Ic
1,9,4,2024-02-04 00:00:00,1,9399,Cat_2,Cat_9,3
2,2,1,2023-07-10 00:00:00,1,5140,Cat_10,Cat_3,3
3,5,7,2022-08-15 00:00:00,1,7725,Cat_4,Cat_4,1
4,6,1,2024-10-22 00:00:00,0,6082,Cat_5,Cat_1,2
5,2,9,2024-02-17 00:00:00,1,944,Cat_2,Cat_4,1
6,4,2,2023-09-27 00:00:00,0,2138,Cat_5,Cat_5,1
7,3,4,2021-05-19 00:00:00,0,4969,Cat_7,Cat_5,3
8,3,8,2023-03-02 00:00:00,1,1819,Cat_10,Cat_3,3
9,2,5,2025-10-28 00:00:00,0,8852,Cat_5,Cat_9,1
10,8,8,2024-01-23 00:00:00,0,7489,Cat_1,Cat_7,3
11,6,9,2021-05-22 00:00:00,1,6373,Cat_3,Cat_2,1
12,8,10,2022-09-24 00:00:00,0,8714,Cat_9,Cat_9,3
13,6,2,2022-04-19 00:00:00,1,4798,Cat_7,Cat_1,1
14,1,1,2024-02-06 00:00:00,1,1539,Cat_8,Cat_5,1
15,1,7,2023-08-18 00:00:00,1,7038,Cat_5,Cat_1,2
16,2,10,2022-03-18 00:00:00,1,2261,Cat_8,Cat_7,2
17,9,2,2021-11-04 00:00:00,0,9657,Cat_8,Cat_4,3
18,5,9,2025-05-08 00:00:00,0,5435,Cat_10,Cat_10,1
19,7,3,2025-03-14 00:00:00,0,9606,Cat_7,Cat_4,2
20,10,1,2023-07-28 00:00:00,1,6810,Cat_8,Cat_9,1
21,2,9,2023-08-27 00:00:00,1,8757,Cat_4,Cat_7,2
22,4,8,2021-06-15 00:00:00,1,6925,Cat_2,Cat_7,1
23,1,5,2021-05-02 00:00:00,1,3389,Cat_9,Cat_4,2
24,5,10,2022-12-18 00:00:00,1,6757,Cat_6,Cat_7,3
25,5,5,2024-02-01 00:00:00,1,4042,Cat_10,Cat_3,1
26,7,2,2023-11-09 00:00:00,1,5170,Cat_2,Cat_3,2
27,6,10,2025-01-17 00:00:00,1,8952,Cat_9,Cat_6,3
28,5,5,2021-09-20 00:00:00,1,5040,Cat_7,Cat_2,2
29,10,4,2023-12-09 00:00:00,1,5823,Cat_7,Cat_3,3
30,7,1,2025-11-17 00:00:00,0,9414,Cat_2,Cat_2,1
31,3,5,2021-02-19 00:00:00,1,241,Cat_5,Cat_4,2
32,5,6,2025-10-07 00:00:00,0,8401,Cat_4,Cat_2,1
33,8,4,2022-10-14 00:00:00,1,3498,Cat_9,Cat_4,3
34,3,10,2025-06-14 00:00:00,0,2863,Cat_4,Cat_4,2
35,7,5,2025-03-07 00:00:00,1,5833,Cat_5,Cat_3,3
36,9,4,2024-04-12 00:00:00,1,4148,Cat_7,Cat_3,1
37,4,1,2025-07-03 00:00:00,0,5578,Cat_8,Cat_2,3
38,10,2,2024-07-11 00:00:00,1,1755,Cat_1,Cat_2,3
39,8,7,2024-04-02 00:00:00,1,5332,Cat_9,Cat_3,2
40,10,8,2025-10-02 00:00:00,0,4722,Cat_4,Cat_3,3
41,10,1,2024-12-30 00:00:00,1,8532,Cat_5,Cat_5,1
42,10,7,2023-12-01 00:00:00,0,3442,Cat_7,Cat_9,3
43,2,4,2024-01-27 00:00:00,1,3388,Cat_5,Cat_3,2
44,2,4,2021-10-08 00:00:00,1,5669,Cat_2,Cat_10,1
45,2,8,2022-02-11 00:00:00,0,3854,Cat_5,Cat_8,1
46,2,9,2024-06-15 00:00:00,0,1398,Cat_4,Cat_8,1
47,8,10,2021-12-02 00:00:00,0,9557,Cat_5,Cat_8,1
48,9,7,2021-03-11 00:00:00,0,9768,Cat_1,Cat_2,2
49,7,1,2023-06-23 00:00:00,1,7407,Cat_9,Cat_10,1
50,1,6,2021-06-17 00:00:00,0,9129,Cat_7,Cat_4,3
51,3,3,2022-03-22 00:00:00,1,2231,Cat_7,Cat_2,1
52,7,6,2022-03-19 00:00:00,1,2595,Cat_5,Cat_8,3
53,1,3,2021-08-11 00:00:00,0,218,Cat_7,Cat_7,3
54,6,2,2025-03-25 00:00:00,1,7815,Cat_7,Cat_7,2
55,9,8,2025-09-18 00:00:00,0,1749,Cat_7,Cat_3,2
56,8,4,2024-02-21 00:00:00,0,7614,Cat_9,Cat_5,2
57,10,2,2022-12-27 00:00:00,1,780,Cat_1,Cat_4,2
58,10,10,2021-10-21 00:00:00,1,7357,Cat_9,Cat_10,1
59,10,5,2023-04-29 00:00:00,1,9157,Cat_8,Cat_7,1
60,3,1,2021-07-07 00:00:00,1,5512,Cat_10,Cat_5,1
61,3,6,2023-06-01 00:00:00,1,1702,Cat_5,Cat_6,3
62,2,10,2024-01-02 00:00:00,1,154,Cat_4,Cat_4,2
63,10,1,2021-08-10 00:00:00,0,7762,Cat_6,Cat_9,1
64,2,10,2024-09-26 00:00:00,1,6114,Cat_7,Cat_6,3
65,8,5,2024-05-11 00:00:00,1,1691,Cat_8,Cat_2,3
66,2,2,2023-07-22 00:00:00,0,3119,Cat_1,Cat_4,3
67,2,8,2022-05-27 00:00:00,0,236,Cat_4,Cat_3,2
68,10,2,2023-12-12 00:00:00,1,3964,Cat_9,Cat_9,2
69,9,5,2025-06-09 00:00:00,1,2691,Cat_3,Cat_2,1
70,4,2,2025-04-24 00:00:00,1,8967,Cat_4,Cat_7,2
71,1,8,2024-03-18 00:00:00,1,2305,Cat_10,Cat_4,3
72,3,7,2025-11-26 00:00:00,0,384,Cat_2,Cat_8,1
73,8,5,2024-10-20 00:00:00,0,2721,Cat_10,Cat_9,3
74,9,3,2024-08-15 00:00:00,0,748,Cat_9,Cat_5,1
75,4,9,2021-04-21 00:00:00,1,4723,Cat_9,Cat_8,2
76,2,8,2024-07-17 00:00:00,1,1363,Cat_9,Cat_8,3
77,1,9,2022-10-30 00:00:00,1,6345,Cat_2,Cat_9,3
78,9,4,2025-08-27 00:00:00,1,3338,Cat_6,Cat_6,2
79,3,4,2025-04-05 00:00:00,1,9160,Cat_9,Cat_6,3
80,5,6,2023-03-26 00:00:00,0,9673,Cat_9,Cat_2,3
81,3,9,2025-10-13 00:00:00,0,3500,Cat_5,Cat_9,3
82,2,1,2021-04-05 00:00:00,1,3065,Cat_10,Cat_3,1
83,3,9,2025-07-20 00:00:00,0,3785,Cat_7,Cat_3,2
84,8,10,2022-04-14 00:00:00,1,9299,Cat_2,Cat_7,1
85,1,2,2025-06-10 00:00:00,0,9724,Cat_9,Cat_4,1
86,8,5,2025-06-05 00:00:00,1,9193,Cat_6,Cat_3,1
87,5,9,2021-12-11 00:00:00,1,8644,Cat_3,Cat_8,1
88,2,9,2024-01-06 00:00:00,0,9579,Cat_7,Cat_2,2
89,5,6,2023-08-15 00:00:00,0,1752,Cat_2,Cat_8,3
90,9,6,2023-12-07 00:00:00,0,5192,Cat_7,Cat_5,3
91,7,2,2022-06-02 00:00:00,1,7608,Cat_7,Cat_1,2
92,3,10,2024-02-12 00:00:00,0,6776,Cat_2,Cat_7,2
93,1,8,2025-06-08 00:00:00,0,8771,Cat_9,Cat_8,2
94,2,1,2024-12-10 00:00:00,0,1536,Cat_6,Cat_3,2
95,8,4,2024-12-12 00:00:00,1,2027,Cat_10,Cat_7,1
96,7,1,2024-02-28 00:00:00,1,3324,Cat_7,Cat_5,1
97,10,7,2021-10-01 00:00:00,0,7634,Cat_9,Cat_7,3
98,1,8,2021-05-19 00:00:00,0,1297,Cat_1,Cat_5,3
99,10,9,2022-02-27 00:00:00,1,1378,Cat_2,Cat_1,1
100,2,8,2021-09-08 00:00:00,1,381,Cat_1,Cat_1,1
101,8,2,2023-08-11 00:00:00,0,3806,Cat_6,Cat_10,3
102,4,3,2024-01-18 00:00:00,0,1884,Cat_10,Cat_3,2
103,5,3,2024-04-05 00:00:00,1,4102,Cat_7,Cat_5,3
104,3,10,2024-04-02 00:00:00,1,9366,Cat_7,Cat_7,1
105,8,10,2023-06-22 00:00:00,0,4115,Cat_1,Cat_7,1
106,2,5,2021-04-07 00:00:00,0,3125,Cat_6,Cat_7,1
107,6,10,2023-07-20 00:00:00,1,5134,Cat_1,Cat_1,2
108,6,6,2023-04-03 00:00:00,0,4296,Cat_9,Cat_6,1
109,2,8,2021-03-11 00:00:00,0,8506,Cat_3,Cat_1,1
110,3,5,2025-09-21 00:00:00,1,637,Cat_3,Cat_7,1
111,5,9,2025-10-29 00:00:00,0,9510,Cat_10,Cat_10,3
112,10,4,2024-06-10 00:00:00,0,460,Cat_3,Cat_8,2
113,10,8,2025-12-06 00:00:00,0,3993,Cat_2,Cat_4,2
114,1,3,2024-12-16 00:00:00,1,8529,Cat_9,Cat_10,1
115,7,2,2021-06-20 00:00:00,1,1026,Cat_8,Cat_10,2
116,8,4,2023-12-20 00:00:00,0,5302,Cat_2,Cat_8,1
117,1,1,2021-03-25 00:00:00,0,3119,Cat_6,Cat_1,3
118,1,3,2021-05-31 00:00:00,0,7716,Cat_3,Cat_6,3
119,2,8,2022-12-01 00:00:00,0,8096,Cat_10,Cat_4,3
120,4,5,2024-11-15 00:00:00,1,8571,Cat_9,Cat_9,1
121,1,9,2022-01-04 00:00:00,1,1820,Cat_1,Cat_4,2
122,8,6,2021-04-16 00:00:00,0,801,Cat_7,Cat_10,2
123,7,2,2021-10-08 00:00:00,1,7484,Cat_9,Cat_4,2
124,4,7,2022-07-30 00:00:00,1,8614,Cat_1,Cat_2,2
125,8,6,2023-03-23 00:00:00,0,2534,Cat_6,Cat_1,3
126,2,10,2021-04-08 00:00:00,1,492,Cat_6,Cat_2,1
127,6,7,2021-06-26 00:00:00,0,9257,Cat_10,Cat_10,3
128,9,3,2022-12-29 00:00:00,1,6810,Cat_2,Cat_5,2
129,9,4,2024-09-19 00:00:00,1,6562,Cat_4,Cat_7,3
130,2,9,2024-04-24 00:00:00,1,9625,Cat_8,Cat_7,3
131,9,1,2023-09-14 00:00:00,1,5288,Cat_4,Cat_7,2
132,8,6,2025-10-14 00:00:00,0,4068,Cat_10,Cat_2,1
133,6,7,2022-01-01 00:00:00,0,2090,Cat_1,Cat_10,1
134,6,7,2022-03-11 00:00:00,0,2689,Cat_3,Cat_5,2
135,5,2,2025-07-31 00:00:00,0,7968,Cat_3,Cat_8,2
136,3,4,2021-10-13 00:00:00,1,5242,Cat_6,Cat_8,1
137,6,10,2021-04-04 00:00:00,0,7754,Cat_2,Cat_7,3
138,1,2,2022-12-07 00:00:00,1,7317,Cat_5,Cat_7,3
139,4,2,2022-08-09 00:00:00,1,7075,Cat_2,Cat_1,1
140,10,2,2025-02-03 00:00:00,1,9953,Cat_9,Cat_4,1
141,5,3,2021-03-13 00:00:00,1,9604,Cat_7,Cat_3,2
142,5,6,2021-01-21 00:00:00,1,9198,Cat_9,Cat_4,2
143,2,7,2023-10-23 00:00:00,0,9683,Cat_10,Cat_6,3
144,2,4,2021-01-01 00:00:00,1,5185,Cat_6,Cat_6,2
145,4,2,2023-02-03 00:00:00,1,8235,Cat_2,Cat_4,3
146,10,4,2023-12-31 00:00:00,1,3901,Cat_7,Cat_7,1
147,9,7,2025-10-03 00:00:00,0,1097,Cat_1,Cat_2,2
148,2,2,2022-12-11 00:00:00,1,7579,Cat_8,Cat_9,2
149,4,9,2021-09-29 00:00:00,0,8960,Cat_7,Cat_2,2
150,6,6,2023-09-14 00:00:00,1,4063,Cat_5,Cat_10,2
151,5,1,2023-01-30 00:00:00,1,6702,Cat_6,Cat_1,2
152,8,1,2022-03-06 00:00:00,1,218,Cat_9,Cat_4,3
