ID,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07
1,,,,,,,,,,2884,4231,2711,3431,2684,2719,2204,1998,2729,3597,3753,1010,1320,2822,546,1622,2049,2287,2434,2695,2483,2848,2546,2606,5720,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2,0,13,0,0,0,0,0,
3,0,1,0,0,,,65,24,47,142,39,63,87,105,81,43,64,168,299,349,,,,,,,,,,,,,,,,,,,,,,,
4,5,4,44,22,39,51,39,10,35,28,0,15,15,15,29,17,10,41,16,59,42,57,129,109,69,110,81,93,98,89,272,57,173,149,79,52,102,109,74,40,42,38,15
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277,123,47,88,85,86,83,141,91,17
6,,,,,,0,0,0,0,0,0,63,100,102,121,67,37,8,0,0,0,42,2,14,2,5,118,1649,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,91,23,16,23,13,40,15,50,60,12,25,14,7,13,92,29,32,9,0,20,10,0
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,613,107,198,332,172,164,53,81,200,320,257,,270,54
9,,,,,,,,,,,,,,,0,4,4,4,3,2,4,15,13,19,6,93,0,219,,,,,,,,,,,,,,,
10,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,31,,,,,,,,,,,,,,,,,,,,
11,2,30,0,,,,27,29,21,2,21,0,17,48,12,20,14,21,60,28,18,4,52,6,0,45,36,25,18,53,5,14,96,28,0,7,21,9,3,39,17,62,1
12,,,,,,,,,,532,905,1068,808,390,356,238,392,119,139,362,341,648,488,576,1366,523,793,815,1661,620,466,362,430,671,864,315,,,,,,,
13,4,12,19,16,31,6,2,3,8,22,3,1,11,26,14,2,19,8,16,32,10,56,25,27,68,13,87,79,56,97,162,29,40,15,23,19,82,38,34,35,28,31,1
14,0,4,0,17,0,44,25,68,56,52,0,55,22,89,167,64,321,301,277,433,306,393,1107,1456,1340,1368,1031,1048,289,,,,,,,,,,,,,,
15,22,46,14,19,18,9,52,58,62,34,39,85,52,42,48,31,38,87,62,15,165,82,37,14,15,79,37,47,31,39,13,12,5,8,3,18,2,12,11,51,21,11,0
16,1,0,10,2,26,40,63,102,36,76,86,16,15,10,129,150,128,273,296,262,246,122,142,145,110,130,127,116,150,137,182,121,193,227,108,90,152,176,188,156,161,144,14
17,7,21,37,51,88,63,63,151,232,627,537,172,280,120,174,139,255,271,438,525,392,370,332,350,528,337,309,455,495,482,330,279,351,503,445,255,301,481,285,386,416,448,57
18,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,38,0
20,74,132,126,69,,,,,,,,,,,,,199,463,219,271,262,477,357,134,7,25,31,20,64,13,62,60,66,81,71,67,99,61,80,111,164,130,26
21,,,,,,,,,,,23,63,51,47,105,31,40,16,7,0,,,,,,,,,,,,,,,,,,,,,,,
22,213,58,118,163,247,212,313,196,625,533,356,80,292,353,625,444,466,529,366,492,398,376,178,269,437,245,233,165,419,178,370,250,141,166,142,70,134,155,162,226,267,278,28
23,,,,5,27,90,74,105,294,271,2147,2202,3941,1530,1847,1634,2036,2963,4399,3509,2261,2921,2926,2908,4599,3972,3942,5048,5353,3521,3461,4813,3495,4626,1388,1574,2923,2907,2222,2083,2875,1836,262
24,9,13,6,41,46,63,91,119,135,373,99,202,95,114,300,78,40,175,32,6,50,119,85,50,24,68,95,87,111,7,190,185,268,185,170,124,222,216,76,180,100,204,33
25,35,55,0,45,0,3,24,0,0,10,0,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,124,173,288,576,1211,1380,1312,1128,1309,1540,1170,506,1255,1508,1078,867,1283,1788,550,825,406,348,240,296,318,338,141,1246,1641,1403,1260,1930,1438,2265,1669,920,1336,1502,1223,1755,2312,2101,285
27,15,13,23,70,368,260,51,51,72,104,129,63,59,67,44,38,54,56,55,41,47,52,49,66,56,71,76,274,166,101,101,137,140,102,117,78,106,122,138,149,137,50,38
28,0,0,1,0,,,0,8,25,3,5,28,2,2,4,0,39,23,0,25,15,3,3,19,36,26,37,5,9,12,32,12,9,4,29,0,0,0,0,24,14,0,0
29,85,92,218,605,713,511,512,472,378,906,666,7173,973,10270,1945,8631,12188,6226,26096,4313,4399,3888,1094,952,1036,1081,735,790,963,929,761,934,1073,830,1133,1211,837,586,748,541,745,760,176
30,68,61,212,529,565,289,292,448,515,424,692,317,217,251,284,311,157,196,256,315,193,202,137,152,130,213,138,195,190,199,333,197,239,225,241,133,226,395,365,389,489,495,65
31,,,,,,,,,,,,9,335,192,281,148,352,158,119,296,183,224,133,146,263,412,509,408,292,426,361,326,382,356,264,295,355,299,1082,984,1056,353,42
32,41,19,95,87,207,333,309,143,254,320,477,212,156,117,219,133,238,125,91,113,73,187,51,43,25,161,118,172,87,53,174,82,73,90,52,476,106,74,32,113,245,217,28
33,,,,,,,,,,,,34,20,18,15,16,116,170,619,525,412,477,186,90,115,133,210,405,397,129,247,442,694,647,262,290,190,314,163,117,342,300,52
34,,,,,,,,,,32,11,0,27,33,107,24,23,46,16,14,21,33,26,17,33,24,11,12,11,12,29,17,33,38,6,9,19,11,31,17,4,16,5
35,0,0,2,2,33,39,33,37,31,147,119,31,38,29,62,7,64,40,32,41,165,41,68,30,33,86,90,80,89,271,174,75,542,176,572,282,410,240,552,270,128,250,42
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,1543,789,399,558,543,932,280,270,594,480,1040,887,938,1450,215
37,8,6,13,16,27,70,33,4,25,11,11,11,33,6,27,0,12,,,,,,,,,13,53,86,17,36,31,72,47,65,65,222,160,242,244,295,261,179,22
38,,,,2,1,1,19,0,0,0,43,392,388,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1,1,0,79,21,48,14,23,22,0,,0,57,24,62,8,7,38,39,13,35,25,53,18,37,4,64,47,37,20,24,50,25,3,36,73,53,19,,,,,
40,30,39,17,1,0,0,0,0,0,51,0,2,0,0,0,25,25,7,20,28,0,11,23,12,6,5,4,11,16,11,0,32,20,26,0,0,10,19,14,1,6,0,7
41,26,91,74,96,116,239,194,290,343,412,496,137,214,270,614,592,548,389,501,410,308,373,264,165,304,307,397,660,643,689,829,436,1003,377,270,376,364,416,372,398,387,262,61
42,21,6,,,,,,,,0,435,525,207,103,202,196,240,149,188,180,128,96,110,0,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,421,349,64,119,183,381,400,533,500,408,667,775,446,234,177,115,168,65,211,168,80,109,179,77,490,252,59,68,153,74,69,18,59,10
44,0,0,0,,,,,,0,0,0,0,0,0,173,260,541,155,390,260,360,318,202,379,294,425,291,260,230,231,392,284,353,390,273,96,378,262,272,241,80,281,63
45,61,,,,,,,,,,,,,,,,,,,,,,,,,,,17,48,11,23,11,23,6,15,15,12,6,10,21,12,11,0
46,19,63,43,39,87,138,105,102,151,384,140,16,31,19,46,16,38,144,52,11,15,27,55,13,13,27,40,32,34,41,36,17,21,30,24,6,54,60,24,27,77,28,13
47,0,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,91,139,97,79,59,56,67,116,65,55,103,1953,1454,815,941,1008,1500,944,647,714,1011,655,93,109,180,106,4
49,,,,,,,,,,,,,,,,,,37,43,28,37,59,32,21,10,28,49,41,32,24,21,54,28,2,0,11,55,55,35,22,19,3,5
50,121,207,386,848,1651,1003,1882,2141,1677,1950,1635,845,1227,1545,2182,3063,3683,2452,1256,981,1503,964,912,627,1240,1530,1348,1531,1826,1241,1077,872,640,831,607,511,879,1260,641,964,859,1264,93
51,31,14,61,82,134,67,79,139,20,,,,,,,,,,,,,,,,,,,,0,4,21,1,0,21,5,30,0,,,,,,
52,70,74,56,216,310,949,157,650,332,491,381,141,235,226,362,363,294,300,126,154,271,93,96,255,187,216,397,464,210,125,308,368,216,108,330,233,393,295,297,279,158,289,57
53,15,34,20,25,26,17,100,37,42,68,92,83,105,44,58,42,51,43,31,31,40,39,24,113,47,92,84,39,47,15,36,30,37,51,25,24,13,20,26,42,23,34,0
54,8,5,1,29,33,34,79,29,58,78,11,286,1029,696,287,224,122,72,84,22,26,4,19,39,20,24,14,121,23,0,0,0,,,,,,,,,,,
55,35,15,6,9,61,23,110,44,168,102,104,48,83,131,97,37,153,204,36,61,43,47,33,18,40,40,64,59,48,45,54,94,43,52,39,28,59,83,66,51,23,21,0
56,,,,,,,,,,,0,0,6,13,3,12,21,18,15,13,13,23,19,64,13,18,31,4,36,2,9,10,11,21,13,13,20,4,2,9,10,25,0
57,0,0,0,0,0,2,5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
